time,eu_24,eu_17
2025-04-18 17:10:00,263.412,245.8502
2025-04-18 17:15:00,246.1166,177.67890000000003
2025-04-18 17:20:00,172.38,133.08599999999998
2025-04-18 17:25:00,138.50549999999998,133.76
2025-04-18 17:30:00,189.9906,133.208
2025-04-18 17:35:00,182.2352,133.208
2025-04-18 17:40:00,196.605,158.3808
2025-04-18 17:45:00,143.9086,99.0705
2025-04-18 17:50:00,126.2227,66.02300000000001
2025-04-18 17:55:00,163.765,113.02280000000002
2025-04-18 18:00:00,163.95,126.2911
2025-04-18 18:05:00,131.356,67.146
2025-04-18 18:10:00,131.068,66.989
2025-04-18 18:15:00,73.1566,26.884
2025-04-18 18:20:00,192.9022,145.7808
2025-04-18 18:25:00,231.8645,180.8649
2025-04-18 18:30:00,144.9712,130.808
2025-04-18 18:35:00,255.67230000000004,231.245
2025-04-18 18:40:00,365.8312,331.16
2025-04-18 18:45:00,555.9506,507.0525
2025-04-18 18:50:00,517.825,462.8589
2025-04-18 18:55:00,321.5576,287.885
2025-04-18 19:00:00,381.1934,338.0331
2025-04-18 19:05:00,248.7898,204.6124
2025-04-18 19:10:00,152.2186,113.0092
2025-04-18 19:15:00,119.9232,66.62400000000001
2025-04-18 19:20:00,73.66810000000001,46.0061
2025-04-19 06:50:00,62.09,42.2835
2025-04-19 06:55:00,68.843,66.454
2025-04-19 07:00:00,136.69000000000003,102.8655
2025-04-19 07:05:00,205.578,144.9588
2025-04-19 07:10:00,223.443,204.915
2025-04-19 07:15:00,326.4384,302.4692
2025-04-19 07:20:00,419.4848,391.2195
2025-04-19 07:25:00,594.3632,548.0388
2025-04-19 07:30:00,749.2284000000001,728.364
2025-04-19 07:35:00,819.8994,779.6544000000001
2025-04-19 07:40:00,975.506,907.634
2025-04-19 07:45:00,1124.0823,1079.5833
2025-04-19 07:50:00,1359.4368,1328.97
2025-04-19 07:55:00,1248.2624,1187.6372
2025-04-19 08:00:00,1611.7189999999998,1561.2065
2025-04-19 08:05:00,1762.9576,1691.1305
2025-04-19 08:10:00,1696.7972,1611.3757
2025-04-19 08:15:00,3152.8101999999994,3052.2912
2025-04-19 08:20:00,6107.3325,5998.514400000001
2025-04-19 08:25:00,6651.902399999999,6514.278000000001
2025-04-19 08:30:00,6429.383999999999,6324.855600000001
2025-04-19 08:35:00,7153.203300000001,7033.905999999999
2025-04-19 08:40:00,7421.491,7291.2843
2025-04-19 08:45:00,7489.792,7347.5241
2025-04-19 08:50:00,7572.29,7438.318999999999
2025-04-19 17:30:00,7099.6512,7093.0332
2025-04-19 17:35:00,6969.374999999999,6841.613400000001
2025-04-19 17:40:00,6786.555600000001,6626.263999999999
2025-04-19 17:45:00,6517.4562000000005,6380.0606
2025-04-19 17:50:00,6279.6279,6228.405000000001
2025-04-19 17:55:00,6030.8456,6059.820000000001
2025-04-19 18:00:00,5774.0352,5767.326
2025-04-19 18:05:00,5495.2237000000005,5493.359700000001
2025-04-19 18:10:00,5238.772,5209.8048
2025-04-19 18:15:00,4958.817,4943.0095
2025-04-19 18:20:00,4664.402599999999,4669.92
2025-04-19 18:25:00,4295.206,4321.7162
2025-04-19 18:30:00,3966.504,3974.0415
2025-04-19 18:35:00,3661.0112,3643.0088
2025-04-19 18:40:00,3326.29,3327.3256
2025-04-19 18:45:00,3021.8113000000003,2997.605
2025-04-19 18:50:00,2690.961,2658.708
2025-04-19 18:55:00,2344.9986,2342.3738
2025-04-19 19:00:00,2052.5048,2073.8118
2025-04-19 19:05:00,1740.6653,1772.5644
2025-04-19 19:10:00,1402.0397999999998,1456.0416
2025-04-19 19:15:00,1128.9054,1195.5929999999998
2025-04-19 19:20:00,837.896,921.294
